,MATICUSDT,STXUSDT,Spread,ZScore
0,1.3779,1.067,0.0014699999999998603,
1,1.407,1.088,0.0034799999999999276,
2,1.4082,1.092,-0.000480000000000258,
3,1.4436,1.117,0.00266999999999995,
4,1.4375,1.114,0.0004399999999997739,
5,1.4406,1.119,-0.002909999999999968,
6,1.4514,1.124,0.0014399999999998858,
7,1.4618,1.131,0.002809999999999979,
8,1.4439,1.118,0.0016799999999996817,
9,1.4308,1.111,-0.002389999999999892,
10,1.4179,1.102,-0.0036800000000001276,
11,1.4163,1.104,-0.0078600000000002,
12,1.4462,1.118,0.0039799999999996505,
13,1.436,1.118,-0.006220000000000336,
14,1.4415,1.122,-0.005880000000000107,
15,1.4351,1.124,-0.014860000000000095,
16,1.462,1.164,-0.03956000000000004,
17,1.4585,1.154,-0.030159999999999965,
18,1.4512,1.143,-0.023270000000000124,
19,1.4486,1.141,-0.023290000000000033,
20,1.456,1.147,-0.02363000000000004,-1.2355679380489348
21,1.4768,1.164,-0.024760000000000115,-1.1964561948688797
22,1.4979,1.16,0.0015000000000000568,0.8310507282993611
23,1.5083,1.156,0.017060000000000075,1.812670165381618
24,1.5236,1.167,0.01817000000000002,1.718818799762629
25,1.537,1.195,-0.004550000000000276,0.22565769631711322
26,1.544,1.206,-0.011739999999999862,-0.22761443402504114
27,1.552,1.204,-0.0011600000000000499,0.4921208685834146
28,1.567,1.194,0.026739999999999986,2.055378599612819
29,1.5841,1.205,0.029649999999999954,1.9412453440537114
30,1.577,1.248,-0.03292000000000006,-1.3231633396019684
31,1.553,1.222,-0.02338000000000018,-0.767473991209587
32,1.543,1.207,-0.014030000000000209,-0.2732663743344042
33,1.564,1.215,-0.003350000000000186,0.2928042370779837
34,1.5298,1.194,-0.010459999999999914,-0.06330673607017868
35,1.5241,1.193,-0.01487000000000016,-0.268350745019337
36,1.5132,1.176,-0.0038399999999998435,0.27277137175993177
37,1.5054,1.172,-0.006479999999999819,0.05962411994127671
38,1.4892,1.163,-0.011069999999999913,-0.2540086041470244
39,1.4812,1.153,-0.006170000000000009,-0.019610216653399286
40,1.4362,1.137,-0.030530000000000168,-1.3982146517202256
41,1.4241,1.115,-0.014250000000000096,-0.4990923156269555
42,1.436,1.11,0.0040999999999997705,0.5094584936917869
43,1.3849,1.078,-0.005720000000000169,-0.06132521117144083
44,1.313,1.013,0.006229999999999958,0.7155407948886411
45,1.3253,1.034,-0.008560000000000123,-0.13699389370999238
46,1.2742,1.007,-0.024829999999999908,-1.1138295356896284
47,1.2911,1.008,-0.009220000000000228,-0.1208000639778615
48,1.2988,1.009,-0.002809999999999979,0.2964588529443662
49,1.2961,1.019,-0.018409999999999815,-0.6511431416383969
50,1.2923,1.016,-0.018340000000000023,-0.6304628423607536
51,1.2841,1.008,-0.016220000000000123,-0.563355810127728
52,1.2902,1.018,-0.02302000000000004,-1.3107094238186425
53,1.2839,1.0,-0.006099999999999994,0.4973797881419011
54,1.3019,1.022,-0.01648000000000005,-0.5706906325657655
55,1.323,1.027,-0.0018299999999999983,0.969804151387727
56,1.3618,1.05,0.007299999999999862,1.698773600203622
57,1.3651,1.076,-0.022940000000000182,-1.177394205342983
58,1.3459,1.053,-0.012469999999999759,-0.14074923045123178
59,1.3921,1.063,0.020829999999999904,2.436125061626528
60,1.4491,1.096,0.03525999999999985,2.7032376649942167
61,1.4535,1.113,0.017730000000000024,1.4507860811341524
62,1.4431,1.121,-0.002990000000000048,0.10833239204097561
63,1.406,1.091,-0.0013900000000000023,0.22853049340664525
64,1.4409,1.113,0.005130000000000079,0.6078113334208728
65,1.4247,1.124,-0.02526000000000006,-1.1956112814007085
66,1.4503,1.137,-0.016430000000000167,-0.6202211953817177
67,1.4541,1.137,-0.012630000000000141,-0.43583644845720654
68,1.4492,1.132,-0.011079999999999757,-0.3318268780357703
69,1.4356,1.125,-0.015649999999999942,-0.5768387922077234
70,1.4259,1.119,-0.017610000000000126,-0.7030992345988691
71,1.4452,1.125,-0.006049999999999889,-0.015599037699635063
72,1.4454,1.122,-0.001980000000000093,0.20228126507565156
73,1.4321,1.116,-0.007540000000000324,-0.20970669869483177
74,1.4352,1.134,-0.027659999999999796,-1.4025625710420067
75,1.4362,1.126,-0.01634000000000002,-0.6894219718517693
76,1.4491,1.149,-0.03310999999999997,-1.5478245446125063
77,1.492,1.156,0.0007600000000000939,0.47674189837006714
78,1.5031,1.158,0.009280000000000177,0.8965821090181
79,1.4769,1.136,0.011460000000000248,0.9405276430348816
80,1.5159,1.15,0.032400000000000206,2.0183099022358797
81,1.5288,1.154,0.040140000000000065,2.362151949792828
82,1.515,1.142,0.04181999999999997,2.1558086631550983
83,1.503,1.13,0.045299999999999896,1.9738400579745488
84,1.4981,1.136,0.03266000000000013,1.2955371047833688
85,1.5286,1.154,0.03994000000000009,1.4429361115381574
86,1.5223,1.154,0.033640000000000114,1.0884577973161995
87,1.557,1.166,0.05285999999999991,1.620457783093144
88,1.5511,1.159,0.05598999999999976,1.538017594006954
89,1.5752,1.193,0.03622999999999976,0.7643270948243372
90,1.5693,1.196,0.026459999999999928,0.3580123489997486
91,1.5632,1.177,0.04486999999999974,0.9359389622650705
92,1.5542,1.183,0.02812999999999999,0.2620482272650126
93,1.5602,1.187,0.02896999999999994,0.24264906848854242
94,1.5286,1.17,0.019300000000000095,-0.18623199761320994
95,1.5374,1.184,0.010040000000000049,-0.7037746480845173
96,1.5441,1.187,0.012869999999999937,-0.6997048769032602
97,1.526,1.167,0.020569999999999977,-0.6021155385450765
98,1.5267,1.158,0.03288000000000002,0.12102985967594333
99,1.5391,1.171,0.028509999999999813,-0.28603821048615374
100,1.5301,1.164,0.02854000000000001,-0.3733483784643753
101,1.5295,1.166,0.02536000000000005,-0.6077979436451288
102,1.5362,1.168,0.029480000000000173,-0.2225692480549476
103,1.5427,1.171,0.03210999999999986,0.03930764177399851
104,1.5466,1.173,0.03342999999999985,0.20887145859337156
105,1.5338,1.177,0.015469999999999873,-1.263757132976066
106,1.5311,1.187,-0.00013000000000018552,-2.154709025570091
107,1.5181,1.175,0.002349999999999852,-1.7128586768676817
108,1.5267,1.181,0.003209999999999935,-1.5318034721643108
109,1.537,1.185,0.008349999999999858,-1.128771749702782
110,1.544,1.189,0.010189999999999921,-0.890721090508857
111,1.5219,1.184,-0.00546000000000002,-1.8675098576916596
112,1.5159,1.185,-0.012750000000000039,-2.1383935334237028
113,1.4866,1.163,-0.013670000000000071,-1.89140532527028
114,1.4542,1.14,-0.01639999999999997,-1.800398635488338
115,1.4733,1.156,-0.017939999999999845,-1.6593817957067982
116,1.4716,1.153,-0.015770000000000062,-1.3873708986532396
117,1.4701,1.142,-0.0030799999999999716,-0.6447269626971991
118,1.4776,1.147,-0.0020299999999999763,-0.5312876593208998
119,1.493,1.156,0.0017600000000002058,-0.25725942404232993
120,1.4882,1.157,-0.004330000000000167,-0.5351225257663799
121,1.4896,1.156,-0.0016399999999998638,-0.3063115596211177
122,1.5071,1.168,0.000380000000000269,-0.11146380730305622
123,1.5222,1.171,0.011609999999999898,0.7403273596357511
124,1.5295,1.185,0.0008500000000000174,0.0921428628738858
125,1.5411,1.196,-0.0017400000000000748,0.02156358063184578
126,1.5078,1.168,0.001080000000000192,0.4366452192383859
127,1.4885,1.162,-0.010480000000000045,-0.8523068145178152
128,1.5172,1.179,-0.003710000000000102,-0.03533194358205225
129,1.5021,1.17,-0.007199999999999873,-0.3904037955003391
130,1.492,1.165,-0.010850000000000026,-0.7463782257316334
131,1.4852,1.16,-0.011199999999999877,-0.7232138542013523
132,1.4303,1.138,-0.037719999999999976,-2.985284030670853
133,1.456,1.131,-0.002990000000000048,0.3867623402850461
134,1.4502,1.118,0.007979999999999654,1.3193833321976651
135,1.4639,1.133,0.0023299999999999432,0.7061894187828525
136,1.4527,1.118,0.010479999999999823,1.351998136753179
137,1.4284,1.114,-0.008660000000000334,-0.5295006751024063
138,1.4548,1.126,0.0022600000000001508,0.5191233835424841
139,1.4442,1.123,-0.004470000000000196,-0.12877814582554742
140,1.4416,1.122,-0.005780000000000118,-0.22299295625124674
141,1.443,1.117,0.0020700000000000163,0.5160559433438836
142,1.445,1.116,0.005359999999999809,0.7921770265500565
143,1.4497,1.116,0.010059999999999736,1.159748992621834
144,1.4697,1.129,0.013290000000000024,1.4372003842168082
145,1.4668,1.131,0.007810000000000095,0.8858759275014952
146,1.4542,1.13,-0.0035000000000000586,-0.1274407624715251
147,1.4691,1.14,-0.0014999999999998348,0.064238042482142
148,1.4719,1.139,0.00258999999999987,0.38196195131127203
149,1.4677,1.131,0.008709999999999996,0.8704176932192537
150,1.4531,1.122,0.005719999999999947,0.5472731015237989
151,1.526,1.169,0.01798999999999995,1.4699982776503357
152,1.5631,1.183,0.037029999999999896,2.476188586798426
153,1.5464,1.209,-0.013210000000000166,-1.656200905602982
154,1.5561,1.236,-0.03834000000000004,-2.9100053447828915
155,1.5506,1.239,-0.04771000000000014,-2.6810112831278294
156,1.5461,1.219,-0.026410000000000045,-1.3425371688378978
157,1.5701,1.223,-0.007570000000000077,-0.29382514644421703
158,1.5533,1.215,-0.01405000000000034,-0.6241597886468759
159,1.5834,1.232,-0.005880000000000107,-0.1672237878212051
160,1.614,1.246,0.00666000000000011,0.47213281727756345
161,1.6371,1.253,0.020730000000000137,1.1156833510926405
162,1.6111,1.235,0.01794999999999991,0.9136766415767738
163,1.6042,1.227,0.02136999999999989,1.0205031884400688
164,1.5854,1.23,-0.0013000000000000789,-0.06499946296580755
165,1.595,1.243,-0.0084700000000002,-0.3703394882730833
166,1.5893,1.234,-0.0025600000000001177,-0.05234892646552329
167,1.5915,1.244,-0.01326000000000005,-0.5590673329985553
168,1.5968,1.246,-0.010539999999999994,-0.40126639847551127
169,1.599,1.248,-0.01092000000000004,-0.3873600821750182
170,1.5858,1.234,-0.006059999999999954,-0.11448969397483354
171,1.5957,1.24,-0.0039000000000002366,0.015574961670677633
172,1.5905,1.236,-0.003940000000000055,0.06794472515945146
173,1.6251,1.256,0.004859999999999864,0.6857740443217493
174,1.6547,1.28,0.0035000000000000586,0.5563895040765126
175,1.6,1.253,-0.016369999999999774,-0.7328622350852596
176,1.603,1.251,-0.010789999999999855,-0.6206750573604368
177,1.5894,1.233,-0.0011700000000003374,0.07397552052444233
178,1.5981,1.247,-0.01053000000000015,-0.7552000450814963
179,1.6221,1.251,0.008310000000000262,0.8522064321672869
180,1.6146,1.25,0.0020999999999999908,0.25384832246776234
181,1.6261,1.264,-0.0044599999999999085,-0.29918546804598073
182,1.5944,1.263,-0.03486999999999996,-2.5925613351432797
183,1.6101,1.262,-0.017879999999999896,-1.0967711474617077
184,1.6216,1.282,-0.0321800000000001,-2.2117910064252264
185,1.6083,1.256,-0.011940000000000062,-0.30735378171789385
186,1.6059,1.253,-0.010469999999999757,-0.1622342629769723
187,1.6141,1.252,-0.0009799999999999809,0.7060822163196099
188,1.6401,1.274,-0.0033600000000002517,0.4431453554567128
189,1.6461,1.261,0.019409999999999927,2.111178142976574
190,1.6574,1.261,0.030710000000000015,2.3990562427938267
191,1.6166,1.241,0.01570999999999989,1.258856544964753
192,1.6243,1.236,0.029859999999999998,1.8712061968720948
193,1.6258,1.241,0.024909999999999766,1.4199203807527925
194,1.643,1.245,0.036949999999999816,1.823294575302267
195,1.6779,1.251,0.06411000000000011,2.4992134653602114
196,1.6711,1.253,0.05473000000000017,1.82408993308499
197,1.6731,1.244,0.06834000000000007,1.9844462630128918
198,1.6219,1.223,0.04422999999999977,1.0510126538725924
199,1.635,1.23,0.04830000000000001,1.0776683212812936
